EventType,EventTime_ET,OffsetMin,Minute_ET,Actual,Forecast,Previous,BTC_ret_1m,ETH_ret_1m,Surprise,Category,BTC_volume_1m,ETH_volume_1m
CPI,2024-01-11 09:30:00-05:00,-4,2024-01-11 09:26:00-05:00,0.3,0.3,0.3,0.00099717,0.00012167,0,Equal,148.17,667.88
CPI,2024-01-11 09:30:00-05:00,-3,2024-01-11 09:27:00-05:00,0.3,0.3,0.3,0.00149279,-0.0004144,0,Equal,217.62,1765.97
CPI,2024-01-11 09:30:00-05:00,-2,2024-01-11 09:28:00-05:00,0.3,0.3,0.3,0.00104593,0.00015594,0,Equal,182.74,910.18
CPI,2024-01-11 09:30:00-05:00,-1,2024-01-11 09:29:00-05:00,0.3,0.3,0.3,0.00030796,-0.00005704,0,Equal,109.04,492.35
CPI,2024-01-11 09:30:00-05:00,0,2024-01-11 09:30:00-05:00,0.3,0.3,0.3,-0.00336642,-0.00257084,0,Equal,222.93,782.19
CPI,2024-01-11 09:30:00-05:00,1,2024-01-11 09:31:00-05:00,0.3,0.3,0.3,-0.00250579,-0.00096083,0,Equal,245.06,1421.75
CPI,2024-01-11 09:30:00-05:00,2,2024-01-11 09:32:00-05:00,0.3,0.3,0.3,0.00064604,0.00092359,0,Equal,329.18,1366.24
CPI,2024-01-11 09:30:00-05:00,3,2024-01-11 09:33:00-05:00,0.3,0.3,0.3,0.00294465,0.00157857,0,Equal,126.71,628.16
CPI,2024-01-11 09:30:00-05:00,4,2024-01-11 09:34:00-05:00,0.3,0.3,0.3,0.00254014,-0.00087179,0,Equal,311.02,1224.41
CPI,2024-01-11 09:30:00-05:00,5,2024-01-11 09:35:00-05:00,0.3,0.3,0.3,0.00166359,0.00240048,0,Equal,423.23,2106.19
CPI,2024-01-11 09:30:00-05:00,6,2024-01-11 09:36:00-05:00,0.3,0.3,0.3,0.00062518,0.00186257,0,Equal,468.19,918.67
CPI,2024-01-11 09:30:00-05:00,7,2024-01-11 09:37:00-05:00,0.3,0.3,0.3,0.00205354,0.00117996,0,Equal,994.66,2445.1
CPI,2024-01-11 09:30:00-05:00,8,2024-01-11 09:38:00-05:00,0.3,0.3,0.3,-0.0001551,0.00030317,0,Equal,407.39,1521.95
CPI,2024-01-11 09:30:00-05:00,9,2024-01-11 09:39:00-05:00,0.3,0.3,0.3,-0.00012955,-0.00028792,0,Equal,244.38,572.71
CPI,2024-01-11 09:30:00-05:00,10,2024-01-11 09:40:00-05:00,0.3,0.3,0.3,0.00239431,0.00064422,0,Equal,553.4,1734.64
CPI,2024-01-11 09:30:00-05:00,11,2024-01-11 09:41:00-05:00,0.3,0.3,0.3,0.00374979,0.00210185,0,Equal,701.86,2144.22
CPI,2024-01-11 09:30:00-05:00,12,2024-01-11 09:42:00-05:00,0.3,0.3,0.3,0.00225834,0.00219192,0,Equal,380.67,2184.27
CPI,2024-01-11 09:30:00-05:00,13,2024-01-11 09:43:00-05:00,0.3,0.3,0.3,-0.00003485,-0.00175347,0,Equal,340.26,1599.17
CPI,2024-01-11 09:30:00-05:00,14,2024-01-11 09:44:00-05:00,0.3,0.3,0.3,0.00073812,0.00097838,0,Equal,508.17,1251.57
CPI,2024-01-11 09:30:00-05:00,15,2024-01-11 09:45:00-05:00,0.3,0.3,0.3,0.00539732,0.00181522,0,Equal,622,2516.58
CPI,2024-01-11 09:30:00-05:00,16,2024-01-11 09:46:00-05:00,0.3,0.3,0.3,0.00099947,0.00662993,0,Equal,637.49,4655.31
CPI,2024-01-11 09:30:00-05:00,17,2024-01-11 09:47:00-05:00,0.3,0.3,0.3,-0.00186097,0.00255592,0,Equal,390.35,4816.9
CPI,2024-01-11 09:30:00-05:00,18,2024-01-11 09:48:00-05:00,0.3,0.3,0.3,0.00039205,-0.00159384,0,Equal,330.55,2189.99
CPI,2024-01-11 09:30:00-05:00,19,2024-01-11 09:49:00-05:00,0.3,0.3,0.3,0.00248139,0.00254973,0,Equal,216.22,2045.21
CPI,2024-01-11 09:30:00-05:00,20,2024-01-11 09:50:00-05:00,0.3,0.3,0.3,-0.00055601,-0.00233442,0,Equal,211.31,3220.13
CPI,2024-01-11 09:30:00-05:00,21,2024-01-11 09:51:00-05:00,0.3,0.3,0.3,0.00052173,0.00127834,0,Equal,461.89,2235.51
CPI,2024-01-11 09:30:00-05:00,22,2024-01-11 09:52:00-05:00,0.3,0.3,0.3,-0.00166093,-0.00099299,0,Equal,252.08,1834.63
CPI,2024-01-11 09:30:00-05:00,23,2024-01-11 09:53:00-05:00,0.3,0.3,0.3,-0.00453104,-0.00512311,0,Equal,316.59,2238.83
CPI,2024-01-11 09:30:00-05:00,24,2024-01-11 09:54:00-05:00,0.3,0.3,0.3,0.001486,0.00082257,0,Equal,383.17,1819.94
CPI,2024-01-11 09:30:00-05:00,25,2024-01-11 09:55:00-05:00,0.3,0.3,0.3,-0.00489557,-0.00210164,0,Equal,496.63,2396.93
CPI,2024-01-11 09:30:00-05:00,26,2024-01-11 09:56:00-05:00,0.3,0.3,0.3,0.00169187,0.00169237,0,Equal,247.93,1694.06
CPI,2024-01-11 09:30:00-05:00,27,2024-01-11 09:57:00-05:00,0.3,0.3,0.3,0.00260001,0.00514363,0,Equal,218.25,2732.03
CPI,2024-01-11 09:30:00-05:00,28,2024-01-11 09:58:00-05:00,0.3,0.3,0.3,0.00115174,0.00254371,0,Equal,168.78,2550.87
CPI,2024-01-11 09:30:00-05:00,29,2024-01-11 09:59:00-05:00,0.3,0.3,0.3,-0.0021936,-0.00079732,0,Equal,147.18,1726
