Date,Close,Adj Close,Open,High,Low,Vol,Close_return
,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,
2023/9/17,1622.9,1622.9,1635.2,1635.51,1616.78,3032716258,-0.007550449
2023/9/18,1637.35,1637.35,1623.08,1669.02,1609.96,5916674789,0.008753503
2023/9/19,1643.54,1643.54,1637.31,1659.53,1628.41,4405868861,0.003797801
2023/9/20,1622.89,1622.89,1643.5,1649.62,1610.42,5156431986,-0.012619604
2023/9/21,1584.31,1584.31,1622.59,1625.2,1573.31,5191732312,-0.023874657
2023/9/22,1593.27,1593.27,1584,1601.54,1579.1,3460791634,0.005835215
2023/9/23,1593.86,1593.86,1593.21,1598,1588.33,2101436678,0.000407898
2023/9/24,1580.85,1580.85,1593.83,1600.21,1576.78,3086456944,-0.008177248
2023/9/25,1588.32,1588.32,1580.75,1595.84,1565.03,4394930984,0.004777436
2023/9/26,1593.42,1593.42,1588.02,1598.1,1580.17,3544861160,0.003394692
2023/9/27,1597.49,1597.49,1593.11,1631.91,1585.37,5533036096,0.002745567
2023/9/28,1652.88,1652.88,1597.67,1666.02,1597.29,6658092168,0.033972903
2023/9/29,1667.94,1667.94,1653,1687.28,1648.66,5529687537,0.008997513
2023/9/30,1671.16,1671.16,1667.83,1692.53,1666.56,3155292192,0.001994616
2023/10/1,1733.81,1733.81,1671.16,1750.6,1670.08,5054880180,0.036803303
2023/10/2,1663.63,1663.63,1732.98,1743.56,1646.08,8420552922,-0.040840508
2023/10/3,1656.69,1656.69,1662.89,1670.36,1644.5,4742827302,-0.003735417
2023/10/4,1647.84,1647.84,1656.74,1657.25,1629.43,5127524863,-0.005386477
2023/10/5,1611.48,1611.48,1647.79,1654.38,1609.85,5403759057,-0.022281985
2023/10/6,1645.83,1645.83,1611.37,1659.61,1611.37,4941208729,0.021160067
2023/10/7,1634.51,1634.51,1645.81,1648.18,1631.16,2578994988,-0.006889599
2023/10/8,1633.55,1633.55,1634.66,1641.18,1618.19,3315554175,-0.000679271
2023/10/9,1579.81,1579.81,1633.45,1635.45,1553.01,7020801716,-0.033389756
2023/10/10,1567.71,1567.71,1580.11,1593.74,1553.03,5254966125,-0.007878509
2023/10/11,1566.25,1566.25,1567.68,1578.22,1548.98,5416504273,-0.000912592
2023/10/12,1539.61,1539.61,1566.36,1566.88,1523.24,5003930677,-0.017225319
2023/10/13,1552.09,1552.09,1539.43,1571.75,1537.92,4575141511,0.008190192
2023/10/14,1555.26,1555.26,1552.26,1560.33,1545.74,2429214718,0.001930801
2023/10/15,1558.07,1558.07,1555.08,1565.76,1550.55,2923337883,0.001920885
2023/10/16,1600.53,1600.53,1558.31,1628.16,1555.99,8846928526,0.026732924
2023/10/17,1565.44,1565.44,1600.64,1601.29,1554.4,5032686973,-0.022236615
2023/10/18,1563.75,1563.75,1565.38,1584.73,1556.74,4354138855,-0.001041823
2023/10/19,1567.46,1567.46,1563.96,1573.74,1543.59,5035110867,0.002235409
2023/10/20,1604.67,1604.67,1567.57,1628.61,1562.3,6747486127,0.023391478
2023/10/21,1629.3,1629.3,1604.82,1641.24,1593.45,4212179634,0.015138874
2023/10/22,1663.43,1663.43,1629.3,1667.67,1623.98,5248406817,0.020731261
2023/10/23,1765.38,1765.38,1674.85,1794.07,1663.45,14362295879,0.052642356
2023/10/24,1784.44,1784.44,1766.01,1852.68,1758.69,15888690475,0.010381876
2023/10/25,1787.4,1787.4,1784.91,1814.48,1762.15,9439066475,0.001394056
